"KeyVaultName","SubscriptionName","SubscriptionId","ResourceGroupName","Location","ResourceId","VaultUri","Sku","TenantId","EnabledForDeployment","EnabledForDiskEncryption","EnabledForTemplateDeployment","EnableSoftDelete","SoftDeleteRetentionInDays","EnablePurgeProtection","EnableRbacAuthorization","PublicNetworkAccess","PrivateEndpointConnections","Tags","DiagnosticSettings"
"kv-adx-access","1ci-preprod-metrics","dc8b9d9c-0cf9-446c-9177-12921182f54a","rg-1ci-metrics-data-analytics","westus","/subscriptions/dc8b9d9c-0cf9-446c-9177-12921182f54a/resourceGroups/rg-1ci-metrics-data-analytics/providers/Microsoft.KeyVault/vaults/kv-adx-access","https://kv-adx-access.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","True","True","True","90",,"True","Disabled","Not configured","","Unable to check"
"kv-pre-ghacts-clctr","1ci-preprod-metrics","dc8b9d9c-0cf9-446c-9177-12921182f54a","rg_ghactions-metrics-collector","westus2","/subscriptions/dc8b9d9c-0cf9-446c-9177-12921182f54a/resourceGroups/rg_ghactions-metrics-collector/providers/Microsoft.KeyVault/vaults/kv-pre-ghacts-clctr","https://kv-pre-ghacts-clctr.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","True","True","True","True","90",,"False","Enabled","Not configured","","Unable to check"
"test-key-vault-fgalind1","1Source Pre-Production","feff5c33-098d-41a4-b715-45431385fdb4","DefaultResourceGroup-WUS","eastus","/subscriptions/feff5c33-098d-41a4-b715-45431385fdb4/resourceGroups/DefaultResourceGroup-WUS/providers/Microsoft.KeyVault/vaults/test-key-vault-fgalind1","https://test-key-vault-fgalind1.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","False","False","True","90",,"False","Enabled","Not configured","","Unable to check"
"SCM-SgKvprewestus","1Source Pre-Production","feff5c33-098d-41a4-b715-45431385fdb4","1SCM_ResGroup_pre_westus","westus","/subscriptions/feff5c33-098d-41a4-b715-45431385fdb4/resourceGroups/1SCM_ResGroup_pre_westus/providers/Microsoft.KeyVault/vaults/SCM-SgKvprewestus","https://scm-sgkvprewestus.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","True",,"True","90",,"False","Enabled","Not configured","","Unable to check"
"SCM-InvKv-prewestus","1Source Pre-Production","feff5c33-098d-41a4-b715-45431385fdb4","1SCM_ResGroup_Inventory_pre_westus","westus","/subscriptions/feff5c33-098d-41a4-b715-45431385fdb4/resourceGroups/1SCM_ResGroup_Inventory_pre_westus/providers/Microsoft.KeyVault/vaults/SCM-InvKv-prewestus","https://scm-invkv-prewestus.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","True","False","True","90",,"False","Disabled","Not configured","","Unable to check"
"onesrcprvault","1Source Pre-Production","feff5c33-098d-41a4-b715-45431385fdb4","1sprtrigger-test","westus","/subscriptions/feff5c33-098d-41a4-b715-45431385fdb4/resourceGroups/1sprtrigger-test/providers/Microsoft.KeyVault/vaults/onesrcprvault","https://onesrcprvault.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","False","False","True","90",,"False","Enabled","Not configured","","Unable to check"
"SCM-VMKv-prewestus","1Source Pre-Production","feff5c33-098d-41a4-b715-45431385fdb4","1SCM_ResGroup_pre_westus","westus","/subscriptions/feff5c33-098d-41a4-b715-45431385fdb4/resourceGroups/1SCM_ResGroup_pre_westus/providers/Microsoft.KeyVault/vaults/SCM-VMKv-prewestus","https://scm-vmkv-prewestus.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","True",,"True","90",,"False","Enabled","Not configured","","Unable to check"
"kvdiskencryptuswest","1Source Pre-Production","feff5c33-098d-41a4-b715-45431385fdb4","1scm_resgroup_pre_westus","westus","/subscriptions/feff5c33-098d-41a4-b715-45431385fdb4/resourceGroups/1scm_resgroup_pre_westus/providers/Microsoft.KeyVault/vaults/kvdiskencryptuswest","https://kvdiskencryptuswest.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","True",,"True","90",,"False","Enabled","Not configured","","Unable to check"
"kvdevdiskencryptuswest","1Source Pre-Production","feff5c33-098d-41a4-b715-45431385fdb4","1SCM_Dev_VMs","westus","/subscriptions/feff5c33-098d-41a4-b715-45431385fdb4/resourceGroups/1SCM_Dev_VMs/providers/Microsoft.KeyVault/vaults/kvdevdiskencryptuswest","https://kvdevdiskencryptuswest.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","True","True","True","True","90",,"False","Enabled","Not configured","","Unable to check"
"SCM-InvKv-prodwestus","1Source1DB - IGBN","b6bebd3d-2ad2-4fd5-93c0-0986e7aa6928","1SCM_ResGroup_Inventory_prod_westus","westus","/subscriptions/b6bebd3d-2ad2-4fd5-93c0-0986e7aa6928/resourceGroups/1SCM_ResGroup_Inventory_prod_westus/providers/Microsoft.KeyVault/vaults/SCM-InvKv-prodwestus","https://scm-invkv-prodwestus.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","True","False","True","90",,"False","Enabled","Not configured","","Configured (2 setting(s))"
"SCM-SpKvprewestus","1Source1DB - IGBN","b6bebd3d-2ad2-4fd5-93c0-0986e7aa6928","1SCM_ResGroup_Monitoring_pre_westus","westus","/subscriptions/b6bebd3d-2ad2-4fd5-93c0-0986e7aa6928/resourceGroups/1SCM_ResGroup_Monitoring_pre_westus/providers/Microsoft.KeyVault/vaults/SCM-SpKvprewestus","https://scm-spkvprewestus.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","True","False","True","90",,"False","Disabled","Not configured","","Configured (2 setting(s))"
"SCM-SpKvprodwestus","1Source1DB - IGBN","b6bebd3d-2ad2-4fd5-93c0-0986e7aa6928","1SCM_ResGroup_Monitoring_prod_westus","westus","/subscriptions/b6bebd3d-2ad2-4fd5-93c0-0986e7aa6928/resourceGroups/1SCM_ResGroup_Monitoring_prod_westus/providers/Microsoft.KeyVault/vaults/SCM-SpKvprodwestus","https://scm-spkvprodwestus.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","True","False","True","90",,"False","Disabled","Not configured","","Configured (2 setting(s))"
